bitrix_id;company_id;omni_id
50071;e0bbac65-3ca8-4050-a660-5b6ccf6ba7c9;1891408
50065;f592d3ae-bf24-45d3-a88c-4b6b35083879;2014296
50015;dcc1329d-f98d-40e2-a772-cba6f3792a34;
50011;628e7d92-f5d9-4c29-b5c5-899f9f8ca804;1768090
49999;5be866a6-035a-4833-9df7-809bed1d6cff;
49991;2ec62492-d3fb-4ff1-8feb-24ea6fee6a26;
49873;afe8f50b-2dd5-470a-b3aa-117bdb52d630;
49811;c902e629-2d2e-4c04-91b8-c75f466d274f;
49725;bb789c76-d33a-4d2d-ab66-b26aa3cbafac;
49705;307a5434-d05a-4046-a5f4-7d275d55edab;
49643;957e5c84-19dc-46d1-8361-31a863414ffc;
49615;f1f158c4-9a0c-49fd-9b61-bd39651d9099;
49533;4fdfb6c8-b4de-4cf2-8b65-636242f01484;
49495;84c84d41-159c-4b91-ae9a-e946aa97517f;
49483;a0468912-a580-4cdf-8a7f-e2f12259dff0;1545518
49421;c1b20376-82a3-4c7e-834f-b2191bb0dfdd;
49269;d882e1d0-23d3-4663-aed5-5da3fb42f666;2002838
49267;eb71aa55-60d4-40c0-87dd-c2878e371ede;2002831
49257;412ffed8-8bb2-4ade-9989-dc99f17bdd7b;2002728
49195;23dd229f-8301-456f-a437-984d6bee670f;
49157;80f1f1c8-6c4f-4f9d-9046-ed9b71118535;2008073
49093;14563f06-94f0-4cd1-92a3-8f18ea8a6270;
49091;355a0590-8949-4c8c-9d70-316b9aec9260;
49083;c48d2476-eece-4d96-87a5-98c890e994a5;2000848
49081;3b402a2c-43a0-4ff7-be9e-9330e71d36c8;
49075;996cebf1-df52-4916-ad1c-85c84e65b7cb;
49067;290c6eac-8242-4973-888a-7736bfb2002f;2000759
49063;b6f5ca2b-cdd4-4c03-82fd-278fabfb8f6b;2012201
49019;b55beb4f-9e30-45c2-abae-a761013b386e;2000339
49011;ceade554-3e86-416f-9286-5a8f578115b8;2002627
49009;31a9ae3e-5786-421d-b5e1-1a3713d88b29;1509428
48981;82442493-de51-4623-95c2-6624aaeb179c;
48979;8fed113c-9700-42e7-8120-cce42b61c0f7;1999446
48971;31348211-87f2-48b9-8fca-c82eef73793c;
48945;57b1cc71-d8fe-40a2-a654-82f83647c641;
48931;648b7946-74d8-4eb2-83e2-a142d5a1f3f1;1999025
48911;0feb0d4c-a5f2-46ae-a2cf-baff9a6393ef;
48899;0f13c9cb-1c08-4f61-a335-2e104d2a80c0;1998597
48845;83800e4d-3073-4cba-a1be-6cc56f781ea1;1998640
48765;5fd57792-781e-42ce-bcdc-1dfe93ed10ab;1998570
48761;10ba33a1-7af9-4c10-9b59-1006a72b6f98;2011558
48749;97d06e3a-82e2-40d0-913c-22355a2c0d53;
48725;714c6c6f-21fc-446f-bab4-c1543a7e5173;1998433
48671;94006912-7f25-4dc3-935a-eab7e726d4a2;1996798
48667;0f7153d2-c66c-40fb-8a09-cc05131f215d;
48653;c3fd0f03-9e32-4abf-a200-e491a917a7fb;
48651;fed35399-44ea-4a78-b964-fd5255baff68;
48647;f0f2eded-74d2-46da-b481-8270ef82e953;
48645;f304338a-317f-423a-af64-197186735c6f;1996592
48635;405c4b86-9a81-451f-ab2a-7d656f30367c;1996440
48609;62801d2d-0b21-4fdd-9e0e-6a1f799e41c3;1911255
48577;20634096-8fda-4d02-bca1-dcfe595c1804;1186307
48565;e784c429-4feb-43bb-a906-f22d53cfda7f;
48551;81d57018-676e-4803-9651-86ad3a22b008;1963615
48547;5825a6b6-31b7-4e72-b584-1e39b85d3b1f;1996029
48541;0e54cbac-96da-4a3d-8615-b4e2a655c730;1995607
48521;4b6cd164-dff7-4cf7-a38b-e6fe43e2ee48;1985915
48515;9ffb2df0-ac9a-4337-989e-2b68819a67d8;1995523
48455;d0aefe9e-a35c-4b3b-826c-989fa190c2bc;1995165
48449;406c4a87-dca3-4014-8524-0f2de813dd3f;2005978
48443;7c2ff3a5-0e5e-4dcf-8257-f73adaf90f77;
48413;c70760a1-14bf-4c71-9fe4-adc3524d53fd;1996089
48393;f2594510-89ed-442a-91a2-0e1fad467e05;1551649
48257;297b2a5b-f065-4560-9fb1-6a03dac095e1;1994574
48161;0781b50c-7f86-43b4-bb50-ea4d7253da59;2003689
48157;713b2f8e-d6dd-4378-a5ab-d1b8d1b5b7d1;1872665
48133;bb6ccb49-03b5-458f-9716-6b3b8244d3dc;1993664
48123;2618abbf-fe98-44c7-a5eb-2a201333bc6e;1796088
48117;b3a2d09e-5d2b-4723-9c53-26661f3f23fe;1769748
48105;078f4e52-4cb5-434d-afaa-e6bb85dfaf94;2000817
48051;edfff592-e0f6-49dc-bb4a-f29a03e41bd4;
48033;e6e35758-4776-45d8-8351-7eeb063279cd;
48029;72d6e043-d45e-4b8f-a7a9-6a57f965f1a8;1944793
48025;c293fa45-821b-4321-8d38-4c02022ab30c;
48023;617ebe87-4dc8-4573-9819-fc83ae031a69;1522694
48019;3a66cbb7-1471-4507-af25-61d154f3a6b2;1507575
47935;6612b97a-7e10-4a0d-84b2-ad6028f8c368;2000258
47923;db1d406e-d0ff-4ad5-be1d-6f8e1f6c5dcb;2008292
47911;06cee6cc-4a0e-4812-a65e-5b4517e4cddb;1992940
